"pcp-dstat 6.2.0 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","13 Aug 2026 19:32:27 UTC"
"system","total usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","net/total:recv","net/total:send","dsk/total:read","dsk/total:writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
13-08 19:32:27,,950228,611004,216792,5927080,,,,,,,1.180,1.140,0.830,1,0,,,,19,2,0,7,0
13-08 19:32:28,9.748,20.996,67.988,0,0,971832,589364,216796,5927112,20907.417,5836.000,0,207.964,0,9.998,5657,4136,1.180,1.140,0.830,4,0,362.938,0,0,19,3,0,7,0
13-08 19:32:29,14.735,25.723,57.690,0,0,964188,596964,216796,5927160,79761.769,1983888.828,0,19.979,0,4.995,7501,5852,1.180,1.140,0.830,1,0,496.482,0,0,19,3,0,7,0
13-08 19:32:30,18.008,19.509,61.278,0,0,962984,598116,216796,5927176,20795.664,10471.867,0,16.007,0,4.002,5424,5636,1.160,1.130,0.830,1,0,280.130,0,0,19,3,0,7,0
13-08 19:32:31,21.468,22.716,54.169,0,0,966696,594324,216796,5927528,17056.366,7765.330,0,165587.139,0,673.987,8045,9283,1.160,1.130,0.830,11,0,276.584,0,0,19,3,0,7,0
13-08 19:32:32,13.492,12.242,73.204,0,0,1077952,482576,216796,6052500,12361.276,4840.975,0,0,0,0,4343,4631,1.160,1.130,0.830,1,0,132.917,0,0,20,4,0,7,0
13-08 19:32:33,19.544,7.016,72.913,0,0.251,1094216,466308,216800,6052508,8688.402,1623.626,0,3684.227,0,14.031,2634,1728,1.160,1.130,0.830,1,0,43.096,0,0,20,4,0,7,0
13-08 19:32:34,15.006,11.255,71.529,0.250,0,1108344,452160,216804,6052524,8766.606,1620.667,0,184.076,0,16.007,3974,3017,1.160,1.130,0.830,1,0,172.071,0,0,20,4,0,9,0
13-08 19:32:35,22.435,3.241,72.790,0.499,0,1152372,407644,216804,6052988,10466.823,1615.343,0,4694.465,0,576.338,2234,1562,1.150,1.130,0.830,2,0,0,0,0,20,4,0,9,0
13-08 19:32:36,22.751,3.000,73.002,0,0.250,1181332,377668,216812,6053792,8918.245,1620.045,0,32.001,0,2.000,1788,1205,1.150,1.130,0.830,2,0,0,0,0,20,4,0,9,0
