"pcp-dstat 6.2.0 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","01 Sep 2026 07:43:38 UTC"
"system","total usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","net/total:recv","net/total:send","dsk/total:read","dsk/total:writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
01-09 07:43:38,,955468,831752,211700,5721068,,,,,,,0.770,0.800,0.680,2,0,,,,19,2,0,7,0
01-09 07:43:39,8.236,19.965,70.378,0,0,957380,829804,211700,5721104,27780.731,1617.190,0,223.611,0,11.979,5718,3710,0.770,0.800,0.680,1,0,330.426,0,0,19,2,0,7,0
01-09 07:43:40,9.505,20.261,69.538,0,0,956780,830376,211700,5721132,21814.890,1620.883,0,16.009,0,4.002,5479,3452,0.770,0.800,0.680,1,0,315.172,0,0,19,2,0,7,0
01-09 07:43:41,16.711,16.960,64.100,0,0,968124,819000,211700,5721152,34351.663,5939.110,0,15.963,0,3.991,5431,4611,0.770,0.800,0.680,3,0,203.524,0,0,19,3,0,7,0
01-09 07:43:42,18.817,20.322,59.462,0,0,951376,835592,211700,5721304,84748.815,1986611.899,0,16.057,0,4.014,7135,6400,0.770,0.800,0.680,3,0,333.187,0,0,19,3,0,7,0
01-09 07:43:43,21.730,19.233,57.698,0,0,1080080,706656,211700,5846364,50118.430,15320.070,0,51.953,0,2.997,7148,8280,0.790,0.810,0.690,2,0,252.770,0,0,20,5,0,7,0
01-09 07:43:44,26.179,11.219,61.832,0,0,1075436,711288,211700,5846368,39115.521,16012.412,0,183.500,0,10.970,4413,3427,0.790,0.810,0.690,1,0,140.617,0,0,20,4,0,7,0
01-09 07:43:45,14.504,12.254,71.771,0.250,0,1092304,694400,211700,5846388,26633.619,1620.464,0,256.073,0,18.005,4248,3029,0.790,0.810,0.690,1,0,175.050,0,0,20,4,0,9,0
01-09 07:43:46,19.998,4.250,73.494,0.250,0,1144412,642044,211700,5846636,22490.123,1619.865,0,695.942,0,18.998,2045,1530,0.790,0.810,0.690,2,0,0,0,0,20,4,0,9,0
01-09 07:43:47,21.252,4.750,73.007,0,0,1177920,607448,211704,5847620,29005.736,1620.153,0,0,0,0,2021,1241,0.790,0.810,0.690,2,0,0,0,0,20,4,0,9,0
01-09 07:43:48,21.818,2.759,72.476,1.505,0,1194056,590224,211780,5848532,21543.045,1625.057,0,5127.959,0,371.155,3397,4352,0.800,0.810,0.690,1,0,10.031,0,0,20,6,0,9,0
01-09 07:43:49,12.501,6.000,67.253,11.751,0,1191616,583700,212280,5856756,19304.003,1620.084,0,40742.117,0,3766.196,14061,26533,0.800,0.810,0.690,1,0,45.002,0,0,20,6,0,9,0
01-09 07:43:50,18.737,7.995,66.954,4.247,0,1119028,655360,212616,5857324,18762.193,1618.895,0,29096.140,0,2055.597,8984,14877,0.800,0.810,0.690,2,0,95.935,0,0,20,4,0,9,0
01-09 07:43:51,22.933,3.490,71.044,0.997,0,1179020,595324,212660,5857324,27184.152,1615.315,0,8479.405,0,465.649,3104,3550,0.800,0.810,0.690,1,0,5.983,0,0,20,4,0,9,0
01-09 07:43:52,22.259,4.002,73.031,0,0,1205944,568396,212660,5857324,21299.069,1458.621,0,596.254,0,26.011,1947,1304,0.800,0.810,0.690,1,0,0,0,0,20,4,0,9,0
01-09 07:43:53,22.999,3.500,71.746,0.750,0,1176172,598136,212676,5857336,29008.493,1619.916,0,6423.666,0,346.982,2818,2743,0.820,0.810,0.690,1,0,10.999,0,0,20,4,0,9,0
01-09 07:43:54,24.518,4.003,70.052,0.250,0,1174136,600172,212676,5857336,31713.430,5985.422,0,128.095,0,10.007,2285,1473,0.820,0.810,0.690,1,0,2.001,0,0,20,5,0,9,0
01-09 07:43:55,30.304,9.517,59.356,0,0,1203404,570760,212676,5857468,87560.956,2014350.802,0,0,0,0,5248,3596,0.820,0.810,0.690,2,0,149.268,0,0,20,5,0,9,0
01-09 07:43:56,27.492,12.496,58.733,0,0,1179644,594492,212676,5857488,39476.671,18445.706,0,3.999,0,1.000,4776,3791,0.820,0.810,0.690,1,0,193.944,0,0,20,5,0,9,0
01-09 07:43:57,18.210,24.946,55.878,0,0,1158580,615492,212676,5857532,20837.612,6080.755,0,39.913,0,6.985,6611,14319,0.820,0.810,0.690,1,0,424.076,0,0,20,4,0,10,0
01-09 07:43:58,13.033,21.054,64.664,0,0,1160544,613384,212676,5858124,26264.746,1624.127,0,28.071,0,7.018,6735,6455,0.830,0.820,0.690,1,0,319.813,0,0,20,4,0,9,0
01-09 07:43:59,23.811,10.913,64.240,0,0,1152872,621020,212680,5858028,18360.109,1607.229,0,123.022,0,1.984,3922,4878,0.830,0.820,0.690,3,0,87.306,0,0,20,4,0,9,0
01-09 07:44:00,47.003,12.065,39.965,0,0,1236936,536920,212688,5858168,22238.503,1628.752,0,184.994,0,9.049,3996,2427,0.830,0.820,0.690,2,0,109.589,0,0,20,5,0,9,0
01-09 07:44:01,45.999,4.000,48.499,0,0,1272328,501388,212688,5858268,30871.610,1457.982,0,427.995,0,26.000,2903,1149,0.830,0.820,0.690,2,0,0,0,0,20,5,0,9,0
01-09 07:44:02,42.527,6.004,48.281,0.250,0,1298440,474704,212688,5858752,25249.047,1621.030,0,5899.750,0,297.189,2923,1242,0.830,0.820,0.690,2,0,0,0,0,20,5,0,9,0
01-09 07:44:03,41.708,10.989,46.453,0,0,1320016,451804,212716,5860020,29677.790,1618.353,0,783.203,0,58.940,3471,2810,0.930,0.840,0.700,2,0,0.999,0,0,20,5,0,9,0
01-09 07:44:04,19.231,10.989,67.682,0,0,1335892,434680,212732,5860968,16462.395,1618.368,0,295.702,0,27.972,4237,3657,0.930,0.840,0.700,1,0,139.859,0,0,20,4,0,9,0
01-09 07:44:05,20.277,5.257,72.598,0.250,0,1384732,385840,212732,5860968,19231.865,1622.182,0,4177.619,0,406.547,2112,1362,0.930,0.840,0.700,1,0,0,0,0,20,4,0,9,0
01-09 07:44:06,22.809,4.010,71.938,0,0.251,1416988,353872,212732,5860968,37481.732,1624.235,0,3164.251,0,15.039,2222,1335,0.930,0.840,0.700,1,0,7.018,0,0,20,4,0,9,0
01-09 07:44:07,30.000,5.500,63.750,0,0,1427500,343188,212732,5861144,81496.135,2036281.380,0,8.000,0,2.000,4152,2477,0.930,0.840,0.700,2,0,64.000,0,0,20,5,0,9,0
01-09 07:44:08,30.223,9.492,56.700,1.249,0,1436884,333684,212764,5861264,44505.599,17751.285,0,1954.270,0,204.819,6089,6999,1.010,0.860,0.710,2,0,144.872,0,0,20,11,0,9,0
01-09 07:44:09,24.458,10.482,62.642,0.250,0,1346580,423924,212816,5861264,36661.764,13533.657,0,2723.303,0,166.712,4462,4084,1.010,0.860,0.710,1,0,142.754,0,0,20,4,0,11,0
01-09 07:44:10,23.500,2.250,73.501,0,0,1379124,391164,212816,5861436,21846.386,1620.029,0,0,0,0,1864,975,1.010,0.860,0.710,1,0,0,0,0,20,4,0,11,0
01-09 07:44:11,24.297,2.254,72.640,0.250,0,1395128,375044,212820,5861496,28219.438,1623.131,0,1627.139,0,29.056,2750,2388,1.010,0.860,0.710,1,0,1.002,0,0,20,16,0,11,0
01-09 07:44:12,13.753,1.000,73.268,10.253,0,1395076,374568,212864,5861724,20907.229,1620.405,264.066,616.154,65.016,15.004,1601,1273,1.010,0.860,0.710,1,0,1.000,0,0,20,27,0,11,0
01-09 07:44:13,21.752,4.750,72.505,0,0,1349568,419932,212864,5861868,18666.306,1620.113,0,0,0,0,2710,1967,1.010,0.860,0.710,1,0,45.003,0,0,20,28,0,11,0
01-09 07:44:14,22.969,3.246,73.401,0,0,1400700,368800,212864,5861868,26593.142,1617.819,0,3.995,0,0.999,1961,1080,1.010,0.860,0.710,1,0,0,0,0,20,28,0,11,0
01-09 07:44:15,24.051,2.756,73.406,0,0,1416564,352924,212864,5861884,21539.905,1623.460,0,905.931,0,4.009,2360,1627,1.010,0.860,0.710,1,0,0,0,0,20,28,0,12,0
01-09 07:44:16,29.909,12.960,55.331,0,0,1431608,337864,212864,5861900,35252.274,1615.065,0,11.963,0,2.991,3999,2371,1.010,0.860,0.710,2,0,155.525,0,0,20,28,0,12,0
01-09 07:44:17,42.863,5.981,48.594,0,0,1479064,290276,212864,5862032,25151.412,1614.826,0,0,0,0,2973,1387,1.010,0.860,0.710,2,0,0,0,0,20,29,0,12,0
01-09 07:44:18,45.431,5.773,46.686,0.251,0,1491324,277800,212868,5862240,25930.208,1626.474,0,1518.042,0,24.096,5720,6783,1.090,0.880,0.720,2,0,0,0,0,20,30,0,13,0
01-09 07:44:19,47.873,24.312,27.320,0,0,1443052,326048,212872,5862260,32276.886,385310.463,0,268.690,0,32.082,6102,5788,1.090,0.880,0.720,7,0,477.225,0,0,20,29,0,13,0
01-09 07:44:20,75.252,24.251,0,0,0,1575716,193344,212872,5862296,73663.316,1687608.069,0,220.007,0,13.000,6785,5283,1.090,0.880,0.720,6,0,258.008,0,0,20,29,0,13,0
01-09 07:44:21,82.540,16.209,0,0,0,1706924,227908,205364,5705816,34147.927,15017.707,39.898,3203.831,7.980,416.937,6031,4436,1.090,0.880,0.720,6,2,118.697,0,1.995,20,30,0,13,0
01-09 07:44:22,87.706,11.527,0.501,0.251,0,1772088,162688,205376,5705856,27502.634,4855.411,68.160,561.319,7.016,36.085,6841,6717,1.090,0.880,0.720,8,0,34.080,0,0,20,29,0,13,0
01-09 07:44:23,84.594,12.227,2.495,0.499,0,1681608,362284,203436,5599228,25838.431,1617.023,3.993,650.802,0.998,45.915,7161,9714,1.570,0.980,0.750,5,0,129.761,0,31.941,20,28,0,15,0
01-09 07:44:24,37.935,11.979,48.168,0.998,0,1532468,511336,203504,5599264,25958.545,1617.230,67.884,475.186,14.974,43.925,5451,5285,1.570,0.980,0.750,0,1,180.691,0,0,20,28,0,15,0
01-09 07:44:25,15.002,3.000,72.257,8.751,0,1523852,518896,203552,5600272,27417.841,1714.178,1012.105,3268.339,54.006,193.020,2165,2156,1.570,0.980,0.750,2,0,0,0,0,20,28,0,15,0
01-09 07:44:26,23.250,3.250,72.501,0,0,1545476,497264,203556,5600276,25791.418,1620.026,0,176.003,0,10.000,2285,1522,1.570,0.980,0.750,3,0,0,0,0,20,28,0,12,0
01-09 07:44:27,19.742,6.498,71.972,0.250,0,1509136,533576,203572,5600288,23051.149,1619.378,0,1087.582,0,55.979,3479,3253,1.570,0.980,0.750,1,0,67.974,0,0,20,28,0,12,0
01-09 07:44:28,23.260,3.001,72.781,0,0,1500940,541764,203572,5600296,16198.975,1458.628,0,304.131,0,3.001,1834,1162,1.520,0.980,0.750,1,0,0,0,0,20,28,0,12,0
01-09 07:44:29,23.815,2.507,72.699,0.251,0,1499152,543520,203580,5600320,16289.669,1624.454,0,172.473,0,17.047,3204,3235,1.520,0.980,0.750,1,0,0,0,0,20,28,0,12,0
01-09 07:44:30,9.995,19.989,67.713,0.500,0,1391752,650884,203592,5600344,27593.028,1619.121,15.991,1007.453,0.999,60.967,5912,4222,1.520,0.980,0.750,1,0,409.778,0,0,20,28,0,12,0
01-09 07:44:31,35.299,31.544,32.545,0.501,0,1426912,615680,203592,5600388,33451.730,2328.252,16.022,56.078,1.001,13.018,6039,4590,1.520,0.980,0.750,5,0,605.846,0,0,20,28,0,12,0
01-09 07:44:32,85.997,13.250,0,0.500,0,1625928,416184,203616,5600856,36534.739,5980.794,467.984,2487.914,30.999,341.988,5870,2810,1.520,0.980,0.750,6,0,44.998,0,0,20,29,0,12,0
01-09 07:44:33,87.253,12.500,0.500,0,0,1694576,347476,203616,5600912,89294.082,2083941.925,52.002,76.003,4.000,7.000,7710,5814,1.800,1.050,0.780,5,0,94.003,0,0,20,29,0,12,1
01-09 07:44:34,81.459,13.452,3.986,0,0,1717176,324656,203620,5601132,40986.758,15364.180,23.915,147.474,4.982,11.957,8290,11728,1.800,1.050,0.780,6,0,173.381,0,0,20,32,0,12,0
01-09 07:44:35,80.530,18.063,1.756,0.251,0,1635644,406112,203644,5601176,33144.300,10987.222,0,505.759,0,60.209,8205,10476,1.800,1.050,0.780,7,0,225.785,0,0,20,29,0,9,0
01-09 07:44:36,84.006,15.501,0,0,0,1714496,327088,203648,5601344,16494.090,1851.122,0,672.044,0,16.001,5249,3376,1.800,1.050,0.780,6,0,116.008,0,0,20,28,0,9,0
01-09 07:44:37,88.396,10.737,0.749,0,0.250,1784084,257496,203648,5601348,26446.878,1687.015,0,247.709,0,9.988,5668,3773,1.800,1.050,0.780,6,0,0,0,0,20,29,0,9,0
01-09 07:44:38,87.103,10.512,1.502,0,0,1825284,216212,203660,5601420,21924.842,1621.912,0,4361.140,0,464.548,7631,9016,2.380,1.180,0.820,7,0,0,0,0,20,29,0,9,0
01-09 07:44:39,84.759,12.001,3.750,0,0,1762860,278464,203664,5601636,19013.997,1961.206,0,380.040,0,32.003,7828,10751,2.380,1.180,0.820,4,0,135.014,0,0,20,29,0,10,0
01-09 07:44:40,58.198,14.237,26.726,0,0,1658820,382472,203664,5601668,26908.111,1618.563,0,167.851,0,9.991,5527,4750,2.380,1.180,0.820,2,0,162.855,0,0,20,28,0,10,0
01-09 07:44:41,46.135,4.988,48.379,0,0,1668856,372424,203664,5601680,25460.308,1835.408,0,0,0,0,3325,2040,2.380,1.180,0.820,2,0,0,0,0,20,28,0,11,0
01-09 07:44:42,44.119,9.275,46.124,0,0,1641324,399780,203668,5601852,27197.343,1624.380,0,204.552,0,20.054,6018,6452,2.380,1.180,0.820,3,0,126.341,0,0,20,28,0,11,0
01-09 07:44:43,56.285,20.263,22.764,0,0,1607716,433364,203668,5601876,23183.485,1841.150,0,468.293,0,14.009,4691,2820,2.430,1.210,0.830,3,0,253.158,0,0,20,28,0,11,0
01-09 07:44:44,68.019,6.727,24.666,0.249,0,1636544,404444,203748,5601888,15587.013,1614.512,79.729,235.200,3.986,11.959,4295,2666,2.430,1.210,0.830,3,0,0,0,0,20,28,0,11,0
01-09 07:44:45,60.944,10.283,27.086,0,0,1598512,442396,203768,5601952,71283.312,1832643.038,0,1043.327,0,70.224,9225,10863,2.430,1.210,0.830,6,0,150.480,0,0,20,29,0,12,0
01-09 07:44:46,76.228,22.743,1.000,0.250,0,1563272,477608,203768,5601984,51770.757,283039.664,0,191.943,0,7.998,6279,4596,2.430,1.210,0.830,5,0,263.922,0,0,20,29,0,12,0
01-09 07:44:47,84.206,13.243,2.249,0,0,1668704,372032,203768,5602124,37601.186,17192.940,0,119.937,0,6.996,6626,5721,2.430,1.210,0.830,6,0,152.919,0,0,20,30,0,10,0
01-09 07:44:48,73.809,6.505,18.765,0.250,0,1670120,370408,203784,5602312,31762.339,1621.293,0,580.463,0,41.033,8330,10030,2.550,1.260,0.850,3,0,0,0,0,20,31,0,11,0
01-09 07:44:49,69.780,19.439,10.467,0,0,1638328,402152,203788,5602356,21819.350,2352.598,0,263.172,0,24.922,6193,5836,2.550,1.260,0.850,3,0,322.984,0,0,20,28,0,11,0
01-09 07:44:50,68.220,6.772,24.328,0,0,1649676,390800,203788,5602360,26882.608,1625.236,0,160.517,0,8.026,4054,1720,2.550,1.260,0.850,3,0,0,0,0,20,30,0,11,0
01-09 07:44:51,63.272,6.726,28.896,0,0,1645928,394352,203792,5602552,21135.737,1614.176,0,314.864,0,26.903,7013,8356,2.550,1.260,0.850,4,1,0,0,0,20,30,0,12,0
01-09 07:44:52,63.987,20.074,15.558,0,0,1627240,413000,203800,5602584,16855.346,1626.014,0,4978.414,0,483.789,5853,4797,2.550,1.260,0.850,4,0,300.110,0,0,20,28,0,13,0
01-09 07:44:53,66.974,6.997,25.490,0,0,1647388,392708,203800,5602728,27822.156,1619.369,0,187.927,0,7.997,4506,2433,2.590,1.290,0.860,3,0,1.000,0,0,20,29,0,14,0
01-09 07:44:54,63.756,5.000,30.003,0.250,0,1649788,390188,203800,5602848,21441.893,1620.143,0,272.024,0,24.002,7208,8519,2.590,1.290,0.860,4,0,0,0,0,20,28,0,16,0
01-09 07:44:55,59.322,19.691,19.442,0,0,1635456,404504,203800,5602864,27059.977,1615.164,0,219.343,0,14.955,4770,2772,2.590,1.290,0.860,3,0,286.143,0,0,20,28,0,16,0
01-09 07:44:56,65.306,8.007,26.273,0,0,1710820,329124,203804,5602876,27238.336,1459.250,0,196.168,0,10.009,4669,2746,2.590,1.290,0.860,3,0,0,0,0,20,28,0,16,0
01-09 07:44:57,69.355,8.482,20.956,0.499,0.249,1705584,334004,203828,5603208,31170.042,1756.340,15.967,969.979,0.998,75.842,7582,16687,2.590,1.290,0.860,4,0,40.915,0,0,20,29,0,18,0
01-09 07:44:58,66.248,17.999,15.249,0,0,1560160,479408,203832,5603232,88428.048,2115376.387,0,107.996,0,8.000,6284,3919,2.620,1.320,0.870,4,0,210.993,0,0,20,29,0,18,0
01-09 07:44:59,72.793,14.057,12.802,0,0,1603392,436160,203832,5603240,37999.946,18308.690,0,823.314,0,7.028,5644,5004,2.620,1.320,0.870,4,0,156.630,0,0,20,29,0,18,0
01-09 07:45:00,65.790,13.258,19.512,0,0,1576376,463128,203836,5603284,19106.650,7696.693,0,640.390,0,56.034,7583,9459,2.620,1.320,0.870,4,0,186.113,0,0,20,28,0,18,0
01-09 07:45:01,72.241,27.497,0.500,0,0,1570816,468628,203840,5603340,27342.751,1619.808,7.999,207.975,2.000,20.998,5657,4125,2.620,1.320,0.870,9,0,447.947,0,0,20,28,0,18,0
01-09 07:45:02,80.549,18.703,0,0,0,1675968,363412,203840,5603372,26475.072,1615.976,0,179.553,0,8.978,5477,3910,2.620,1.320,0.870,8,0,270.327,0,0,20,28,0,18,0
