"pcp-dstat 6.2.0 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","17 Apr 2026 06:41:21 UTC"
"system","total usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","net/total:recv","net/total:send","dsk/total:read","dsk/total:writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
17-04 06:41:21,,1016324,648472,214828,5835960,,,,,,,0.900,0.830,0.610,3,0,,,,19,2,0,7,0
17-04 06:41:22,9.249,20.248,66.743,3.250,0.250,1020156,644624,214828,5835996,19153.877,1619.820,0,40119.553,0,159.982,5892,3923,0.900,0.830,0.610,2,0,369.959,0,0,19,2,0,7,0
17-04 06:41:23,8.748,20.496,69.237,0,0,1019496,645124,214828,5836156,20404.032,1619.685,0,275.946,0,60.988,5363,3303,0.900,0.830,0.610,1,0,287.944,0,0,19,2,0,7,0
17-04 06:41:24,16.736,16.486,65.694,0,0,986188,678296,214828,5836208,20204.796,1456.760,0,15.986,0,3.997,5614,5853,0.900,0.830,0.610,2,0,211.820,0,0,19,2,0,7,0
17-04 06:41:25,15.473,16.721,65.887,0,0,984036,680424,214828,5836688,11192.789,1659.152,0,15.973,0,3.993,5562,5672,1.070,0.860,0.620,2,0,215.630,0,0,19,2,0,7,0
17-04 06:41:26,15.434,10.206,73.187,0,0,1056312,607836,214828,5961400,78089.782,1613.096,0,1378.102,0,62.732,4245,5729,1.070,0.860,0.620,1,0,77.668,0,0,20,2,0,7,0
17-04 06:41:27,13.092,15.106,71.252,0,0,1081388,582612,214832,5961424,17309.024,1673.800,0,205182.486,0,1069.540,4533,3639,1.070,0.860,0.620,1,0,86.611,0,0,20,4,0,7,0
17-04 06:41:28,22.492,13.495,62.978,0,0,1112556,551416,214832,5961436,13987.083,1619.431,0,1559.452,0,8.997,4298,11228,1.070,0.860,0.620,2,0,188.934,0,0,20,4,0,8,0
17-04 06:41:29,17.414,6.717,73.138,0,0,1144140,519740,214836,5961524,62031.912,1612.020,0,5027.113,0,18.906,2671,2031,1.070,0.860,0.620,3,0,41.793,0,0,20,4,0,9,0
17-04 06:41:30,20.014,5.254,72.801,0.250,0,1180904,481884,214912,5962472,35466.739,1621.131,0,1008.704,0,23.016,2014,1520,1.150,0.880,0.630,2,0,0,0,0,20,4,0,9,0
17-04 06:41:31,22.268,3.503,73.310,0,0,1199840,462484,214924,5962708,19477.045,1621.336,0,936.772,0,162.134,2030,1181,1.150,0.880,0.630,2,0,0,0,0,20,4,0,9,0
17-04 06:41:32,16.034,4.008,69.648,8.017,0,1209112,447144,215212,5968388,12634.775,1515.211,0,21056.622,0,1827.873,8851,16173,1.150,0.880,0.630,1,1,28.059,0,0,20,6,0,9,0
17-04 06:41:33,17.210,5.737,63.601,10.725,0,1204736,446892,215664,5972520,8809.343,1562.336,0,46618.684,0,3703.316,14243,27407,1.150,0.880,0.630,2,0,53.874,0,0,20,6,0,9,0
17-04 06:41:34,19.012,8.505,69.543,1.501,0,1136912,514652,215716,5972524,17325.722,1621.003,0,11563.156,0,631.391,4318,4933,1.150,0.880,0.630,2,0,75.046,0,0,20,4,0,9,0
17-04 06:41:35,21.967,3.744,72.889,0.250,0,1186324,465236,215716,5972528,14874.328,1617.534,0,499.239,0,25.960,1970,1435,1.210,0.900,0.640,1,0,0.998,0,0,20,4,0,9,0
17-04 06:41:36,23.761,3.001,72.032,0.500,0,1203748,447796,215728,5972528,13378.915,1620.717,0,5698.520,0,333.147,2427,2641,1.210,0.900,0.640,3,0,0,0,0,20,4,0,9,0
17-04 06:41:37,21.821,3.762,72.735,0,0,1161524,490004,215732,5972540,18142.686,1625.257,0,136.441,0,11.036,2045,1226,1.210,0.900,0.640,2,0,10.032,0,0,20,4,0,9,0
17-04 06:41:38,23.182,2.991,73.284,0,0,1181188,470340,215732,5972540,13552.983,1615.231,0,0,0,0,1891,1225,1.210,0.900,0.640,2,0,0,0,0,20,4,0,9,0
17-04 06:41:39,23.479,2.248,73.436,0,0,1197512,454016,215732,5972540,17783.451,1712.503,0,3.997,0,0.999,1880,1133,1.210,0.900,0.640,3,0,0,0,0,20,4,0,9,0
17-04 06:41:40,17.033,10.270,71.891,0,0,1155608,495856,215736,5972564,14654.814,1623.192,0,0,0,0,3596,2287,1.360,0.940,0.650,2,0,160.315,0,0,20,4,0,9,0
17-04 06:41:41,9.257,20.265,69.051,0,0,1146380,504912,215736,5972724,8326.168,1621.201,0,20.015,0,5.004,5454,3741,1.360,0.940,0.650,2,0,312.231,0,0,20,4,0,9,0
17-04 06:41:42,12.276,21.796,65.388,0,0,1145536,505724,215736,5973092,21342.917,1623.417,0,124.262,0,9.019,6509,5776,1.360,0.940,0.650,12,0,308.650,0,0,20,4,0,9,0
17-04 06:41:43,20.962,11.479,66.129,0.250,0,1130408,520808,215744,5972752,21251.075,1455.334,0,171.686,0,12.976,4033,4893,1.360,0.940,0.650,2,0,74.863,0,0,20,4,0,9,0
17-04 06:41:44,44.818,12.698,40.087,0.249,0,1209500,441680,215748,5973236,9357.951,1613.440,0,525.862,0,31.870,3917,2323,1.360,0.940,0.650,3,0,122.502,0,0,20,5,0,9,0
17-04 06:41:45,44.563,6.259,48.568,0,0,1275556,375624,215760,5973224,17402.496,1622.284,0,0,0,0,2874,1281,1.570,0.990,0.670,3,0,1.001,0,0,20,5,0,9,0
17-04 06:41:46,47.873,2.743,48.621,0,0,1298760,351688,215776,5973808,18123.748,1615.698,0,1695.486,0,183.511,2903,1120,1.570,0.990,0.670,3,0,0,0,0,20,5,0,9,0
17-04 06:41:47,40.678,9.793,48.713,0,0,1308004,341928,215800,5974300,17991.771,1627.124,0,208.915,0,14.062,2905,1608,1.570,0.990,0.670,4,0,0,0,0,20,5,0,9,0
17-04 06:41:48,29.010,11.754,57.520,0,0,1326360,321272,215868,5976192,12888.425,1620.556,0,860.295,0,43.015,4783,5120,1.570,0.990,0.670,1,0,118.041,0,0,20,4,0,9,0
17-04 06:41:49,3.489,2.742,92.718,0,0,1314576,333012,215884,5976196,8196.097,1615.093,0,3086.622,0,15.952,1144,1285,1.570,0.990,0.670,2,0,23.927,0,0,20,4,0,9,0
17-04 06:41:50,19.232,5.495,72.933,0,0,1364420,283160,215884,5976200,19156.488,1618.520,0,3.996,0,0.999,1917,1274,1.680,1.020,0.680,2,0,0,0,0,20,4,0,9,0
17-04 06:41:51,20.820,4.515,73.499,0,0,1402964,244616,215884,5976200,13014.020,1462.948,0,0,0,0,1841,1249,1.680,1.020,0.680,2,0,1.003,0,0,20,4,0,9,0
17-04 06:41:52,24.712,1.248,73.138,0,0,1412484,234920,215884,5976376,17122.729,1617.518,0,0,0,0,1747,939,1.680,1.020,0.680,2,0,0,0,0,20,4,0,9,0
17-04 06:41:53,22.479,2.498,71.435,1.249,0,1432240,215012,215924,5976480,16796.648,1618.521,0,1546.586,0,207.810,3619,4753,1.680,1.020,0.680,2,0,0.999,0,0,20,10,0,9,0
17-04 06:41:54,20.524,6.257,71.583,0.751,0,1361916,285320,215936,5976484,16603.366,1621.892,0,2546.971,0,153.179,2799,2408,1.680,1.020,0.680,2,0,42.049,0,0,20,4,0,11,0
