"pcp-dstat 6.2.0 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","np0000000196",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","17 Feb 2026 12:27:45 UTC"
"system","total usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","net/total:recv","net/total:send","dsk/total:read","dsk/total:writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
17-02 12:27:45,,998600,691784,214896,5812960,,,,,,,1.140,0.900,0.640,1,0,,,,19,2,0,7,0
17-02 12:27:46,8.248,19.995,70.233,0,0,988576,701776,214896,5812992,39720.390,2261.453,0,1227.703,0,96.977,5804,3734,1.140,0.900,0.640,3,0,323.922,0,0,19,2,0,7,0
17-02 12:27:47,10.235,19.722,69.151,0,0,997100,693088,214896,5813160,16641.198,1455.918,0,15.977,0,3.994,5362,3504,1.140,0.900,0.640,1,0,305.563,0,0,19,2,0,7,0
17-02 12:27:48,14.523,19.030,64.854,0,0,978064,712080,214896,5813168,7716.341,1460.336,0,63585.694,0,391.626,5803,5785,1.050,0.890,0.640,1,0,228.365,0,0,19,2,0,7,0
17-02 12:27:49,6.490,14.728,77.634,0,0,974792,715328,214896,5813188,17528.717,1617.575,0,41977.058,0,299.551,4004,2991,1.050,0.890,0.640,2,0,159.760,0,0,19,2,0,7,0
17-02 12:27:50,23.030,14.269,59.829,1.252,0,967404,722688,214896,5813188,15593.567,1459.926,0,51271.623,0,306.404,5744,7488,1.050,0.890,0.640,4,0,143.189,0,0,19,2,0,7,0
17-02 12:27:51,14.978,10.734,73.393,0,0,1084236,605612,214904,5938252,11245.603,1611.650,0,4765.052,0,112.835,4116,3593,1.050,0.890,0.640,1,0,107.843,0,0,20,4,0,7,0
17-02 12:27:52,14.751,11.751,71.757,0,0,1103060,586768,214904,5938272,24667.327,1620.153,0,20.002,0,5.000,3760,2400,1.050,0.890,0.640,1,0,146.014,0,0,20,4,0,7,0
17-02 12:27:53,20.221,5.991,72.894,0.250,0,1142692,546888,214908,5938524,14323.205,1455.886,0,235.658,0,15.977,2683,2009,1.050,0.890,0.640,2,0,43.936,0,0,20,4,0,9,0
17-02 12:27:54,22.497,3.749,72.740,0.250,0,1187084,501496,214908,5939404,14999.842,1457.790,0,1011.854,0,18.997,2024,1475,1.050,0.890,0.640,1,0,0,0,0,20,4,0,9,0
17-02 12:27:55,21.765,2.752,72.799,1.251,0,1201512,486248,214924,5940044,17986.106,1621.091,0,3158.126,0,198.133,2855,3140,1.050,0.890,0.640,1,0,4.003,0,0,20,6,0,9,0
17-02 12:27:56,13.514,5.756,67.069,11.762,0,1200772,477660,215712,5948508,8026.264,1459.503,0,38027.153,0,3391.492,13660,26504,1.050,0.890,0.640,2,0,51.053,0,0,20,6,0,9,0
17-02 12:27:57,18.980,7.492,66.179,4.745,0,1098772,578520,216112,5949248,72950.630,1456.435,0,32461.127,0,2336.490,9676,16228,1.050,0.890,0.640,1,0,88.904,0,0,20,4,0,9,0
