"pcp-dstat 6.2.0 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","np0000000038",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","18 Dec 2025 06:46:56 UTC"
"system","total usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","net/total:recv","net/total:send","dsk/total:read","dsk/total:writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
18-12 06:46:56,,923948,1107624,216336,5487304,,,,,,,1.120,0.970,0.690,1,0,,,,19,3,0,7,0
18-12 06:46:57,7.750,20.251,70.254,0,0,926736,1104824,216336,5487316,31107.940,11364.709,0,340.021,0,62.004,5782,3967,1.120,0.970,0.690,1,0,348.022,0,0,19,3,0,7,0
18-12 06:46:58,9.738,19.725,68.913,0,0,932548,1098996,216336,5487332,10752.460,8303.543,0,15.980,0,3.995,5435,3619,1.110,0.970,0.700,2,0,296.626,0,0,19,3,0,7,0
18-12 06:46:59,14.761,17.763,66.300,0,0,943976,1087548,216336,5487460,15870.882,1651.236,0,16.012,0,4.003,5372,4796,1.110,0.970,0.700,2,0,225.169,0,0,19,3,0,7,0
18-12 06:47:00,14.710,19.197,65.321,0,0,941588,1089924,216336,5487812,15191.354,2000.516,0,15.956,0,3.989,5893,5773,1.110,0.970,0.700,2,0,245.327,0,0,19,3,0,7,0
18-12 06:47:01,17.000,10.250,72.001,0,0,1065880,965472,216336,5612528,7317.113,722.011,0,44.001,0,4.000,4675,5872,1.110,0.970,0.700,1,0,81.001,0,0,20,3,0,7,0
18-12 06:47:02,10.754,8.003,80.029,0,0,1066088,965248,216336,5612544,7694.812,3553.299,0,128.047,0,3.001,2759,2110,1.110,0.970,0.700,2,0,83.030,0,0,20,5,0,7,0
18-12 06:47:03,21.029,5.508,72.599,0,0,1066808,964520,216336,5612552,14549.835,2996.084,0,1882.566,0,201.274,2519,1522,1.100,0.970,0.700,2,0,30.041,0,0,20,5,0,7,0
18-12 06:47:04,14.259,12.758,71.296,0,0,1068324,962996,216336,5612560,11659.441,6284.010,0,228.146,0,17.011,4068,2957,1.100,0.970,0.700,1,0,159.102,0,0,20,5,0,9,0
18-12 06:47:05,17.697,4.487,73.281,4.237,0,1101664,929228,216360,5612940,13089.793,893.324,334.997,829.515,20.937,18.943,2016,1487,1.100,0.970,0.700,2,0,16.949,0,0,20,5,0,9,0
18-12 06:47:06,21.514,2.752,73.049,1.251,0,1144172,885380,216364,5614240,12072.042,0,136.091,8.005,3.002,1.001,1884,1369,1.100,0.970,0.700,2,0,0,0,0,20,5,0,9,0
18-12 06:47:07,22.512,2.501,72.790,1.501,0,1162800,866480,216372,5614396,16155.865,748.411,128.070,1344.738,6.003,14.008,1865,1182,1.100,0.970,0.700,3,0,0,0,0,20,7,0,9,0
18-12 06:47:08,14.034,5.263,67.913,11.026,0,1162516,858220,217028,5622152,14207.040,1106.652,0,35986.222,0,3190.645,13651,25723,1.090,0.970,0.700,1,1,55.132,0,0,20,7,0,9,0
18-12 06:47:09,19.002,6.501,65.758,6.501,0,1070496,947660,217592,5624136,8349.984,8206.967,0,36488.300,0,2637.311,10220,18888,1.090,0.970,0.700,3,0,59.007,0,0,20,5,0,9,0
18-12 06:47:10,20.754,4.751,73.015,0.250,0,1124860,893284,217600,5624140,7756.552,2370.474,0,644.129,0,34.007,2439,1779,1.090,0.970,0.700,2,0,43.009,0,0,20,5,0,9,0
