"pcp-dstat 6.2.0 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","26 Feb 2026 16:54:37 UTC"
"system","total usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","net/total:recv","net/total:send","dsk/total:read","dsk/total:writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
26-02 16:54:37,,1025840,676356,215148,5803672,,,,,,,0.700,0.790,0.630,1,0,,,,19,2,0,7,0
26-02 16:54:38,8.250,19.751,70.502,0,0,1030536,671628,215148,5803704,36138.107,1458.045,0,200.006,0,10.000,5295,3357,0.700,0.790,0.630,1,0,295.009,0,0,19,2,0,7,0
26-02 16:54:39,8.744,20.987,68.956,0,0,1012400,689608,215148,5803860,61730.824,1618.973,0,15.990,0,3.997,5691,3750,0.700,0.790,0.630,2,0,344.781,0,0,19,2,0,7,0
26-02 16:54:40,16.239,15.990,66.457,0,0,1007840,694144,215148,5803876,9171.059,1457.056,0,15.990,0,3.997,5459,5306,0.700,0.790,0.630,1,0,219.858,0,0,19,2,0,7,0
26-02 16:54:41,14.770,17.775,65.841,0,0,998044,703908,215148,5804344,9774.525,1622.245,0,48.067,0,6.008,5276,4617,0.730,0.800,0.630,2,0,225.312,0,0,19,2,0,7,0
26-02 16:54:42,14.968,10.228,73.594,0,0,1097000,604704,215148,5928940,17526.884,1454.919,0,0,0,0,4585,5446,0.730,0.800,0.630,2,0,78.833,0,0,20,2,0,7,0
26-02 16:54:43,15.974,9.485,72.882,0,0,1107356,594320,215152,5928964,13227.582,1617.381,0,143.767,0,7.987,3389,2321,0.730,0.800,0.630,2,0,96.843,0,0,20,4,0,7,0
26-02 16:54:44,14.781,12.276,71.900,0,0,1112760,588900,215152,5928980,17220.019,1461.056,0,16.034,0,4.008,3920,2555,0.730,0.800,0.630,2,0,155.325,0,0,20,6,0,7,0
26-02 16:54:45,20.221,5.992,72.397,0.250,0,1141680,559672,215152,5929284,14126.974,1563.783,0,487.309,0,34.950,2748,2119,0.730,0.800,0.630,3,0,34.950,0,0,20,4,0,9,0
26-02 16:54:46,22.951,3.243,72.846,0,0,1184108,516080,215160,5930212,16764.487,1508.804,0,35.924,0,1.996,1943,1193,0.750,0.800,0.640,2,0,0,0,0,20,4,0,9,0
26-02 16:54:47,20.803,2.256,72.686,3.258,0,1198844,500764,215168,5930736,13852.412,1515.875,0,3416.734,0,142.364,2526,2657,0.750,0.800,0.640,1,1,1.003,0,0,20,6,0,9,0
26-02 16:54:48,12.764,5.006,67.076,11.513,0,1210640,481360,215592,5937836,11087.559,1567.776,0,31611.808,0,2918.306,12671,24150,0.750,0.800,0.640,1,1,54.061,0,0,20,6,0,9,0
26-02 16:54:49,19.757,6.502,66.023,5.752,0,1136260,553180,216024,5939880,9923.418,1458.502,0,33667.596,0,2543.876,9933,18266,0.750,0.800,0.640,1,0,58.020,0,0,20,4,0,9,0
26-02 16:54:50,20.761,6.253,70.286,1.501,0,1185300,504024,216124,5939888,18348.300,1566.794,0,13875.033,0,758.384,4175,5120,0.750,0.800,0.640,2,0,50.025,0,0,20,4,0,9,0
26-02 16:54:51,22.700,3.742,72.841,0.249,0,1222076,467196,216128,5939920,13723.054,1508.708,0,1576.560,0,114.750,1975,1277,0.930,0.840,0.650,3,0,0,0,0,20,4,0,9,0
26-02 16:54:52,23.544,2.505,72.135,0.250,0,1161636,527588,216164,5939932,17037.773,1460.724,0,5053.424,0,266.497,2500,2250,0.930,0.840,0.650,1,0,9.017,0,0,20,4,0,9,0
26-02 16:54:53,22.682,2.991,72.782,0.249,0,1211744,477480,216164,5939932,14575.272,1507.477,0,127.617,0,9.970,1915,1288,0.930,0.840,0.650,2,0,0.997,0,0,20,4,0,9,0
26-02 16:54:54,23.263,3.002,73.041,0,0,1238968,450252,216164,5939932,17629.816,1608.896,0,0,0,0,1931,1167,0.930,0.840,0.650,2,0,1.001,0,0,20,4,0,9,0
26-02 16:54:55,18.748,7.749,72.241,0,0,1198148,491060,216168,5939948,12738.408,1457.818,0,4.000,0,1.000,2880,1776,0.930,0.840,0.650,2,0,88.989,0,0,20,4,0,9,0
26-02 16:54:56,10.024,19.046,70.170,0,0,1178824,510356,216168,5939976,9857.828,1461.533,0,12.029,0,3.007,5391,3660,0.940,0.840,0.650,1,0,305.739,0,0,20,4,0,9,0
26-02 16:54:57,9.487,20.972,67.908,0,0,1168144,520932,216168,5940076,16295.038,1563.892,0,31.957,0,7.989,5595,3826,0.940,0.840,0.650,1,0,317.572,0,0,20,4,0,9,0
