"pcp-dstat 6.2.0 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","21 Mar 2026 08:47:31 UTC"
"system","total usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","net/total:recv","net/total:send","dsk/total:read","dsk/total:writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
21-03 08:47:31,,1008452,634732,216148,5856164,,,,,,,1.010,0.950,0.670,1,0,,,,19,2,0,8,0
21-03 08:47:32,8.727,19.200,70.315,0.499,0.249,1006100,637056,216148,5856192,19090.790,1508.034,0,211.444,0,9.974,5308,3371,1.010,0.950,0.670,2,0,306.195,0,0,19,2,0,8,0
21-03 08:47:33,8.768,20.542,69.142,0,0,994888,648112,216148,5856348,18300.579,1461.000,0,12.025,0,3.006,5383,3372,1.010,0.950,0.670,1,0,307.632,0,0,19,2,0,8,0
21-03 08:47:34,15.216,18.708,64.356,0,0,940764,702204,216148,5856820,14668.145,1454.742,0,32263.734,0,203.544,5794,5158,1,0.950,0.670,3,0,230.484,0,0,19,2,0,8,0
21-03 08:47:35,7.486,14.473,77.106,0,0,937212,705736,216148,5856388,18924.712,1563.085,0,72572.678,0,549.974,4253,3142,1,0.950,0.670,1,0,156.708,0,0,19,2,0,8,0
21-03 08:47:36,22.282,15.021,60.837,0,0,930832,711904,216152,5856968,15962.788,1514.162,0,101717.209,0,435.622,5198,5543,1,0.950,0.670,2,0,140.200,0,0,19,2,0,8,0
21-03 08:47:37,4.254,4.755,89.844,0,0,1079512,563056,216160,5981568,12830.485,1459.534,0,5425.702,0,95.100,2345,2856,1,0.950,0.670,5,0,26.027,0,0,20,4,0,8,0
21-03 08:47:38,17.528,9.515,72.115,0,0,1082596,559972,216160,5981580,11723.774,1460.339,0,24.038,0,6.010,3119,2113,1,0.950,0.670,2,0,94.151,0,0,20,4,0,8,0
21-03 08:47:39,15.008,12.256,71.537,0.250,0,1085268,557276,216164,5981600,19055.906,1566.814,0,240.125,0,18.009,4194,3052,1,0.950,0.670,1,0,179.093,0,0,20,4,0,10,0
21-03 08:47:40,22.672,2.990,72.998,0,0,1135816,506400,216184,5981884,19042.170,1506.791,0,1590.502,0,103.642,2158,1583,1,0.950,0.670,1,0,1.993,0,0,20,4,0,10,0
21-03 08:47:41,23.250,2.750,73.251,0,0,1169232,471652,216300,5982864,18806.328,1458.025,0,0,0,0,1888,1162,1,0.950,0.670,2,0,0,0,0,20,4,0,10,0
21-03 08:47:42,19.540,3.006,71.648,3.507,0,1182868,454544,216472,5986056,77958.293,1569.247,0,11335.453,0,837.733,5260,8089,1,0.950,0.670,0,1,10.021,0,0,20,6,0,10,0
21-03 08:47:43,14.009,6.254,64.543,11.508,0,1181144,449264,217204,5992184,19346.015,1513.018,0,48912.906,0,4076.743,15669,29957,1,0.950,0.670,1,0,57.038,0,0,20,6,0,10,0
21-03 08:47:44,19.759,6.753,69.030,3.001,0,1091188,538648,217376,5992560,15645.875,1458.641,0,16899.426,0,1203.529,6645,10011,1.160,0.990,0.680,1,0,90.040,0,0,20,4,0,10,0
21-03 08:47:45,22.634,2.736,73.622,0,0,1143596,486232,217384,5992560,11394.462,1450.548,0,565.097,0,33.826,1878,1308,1.160,0.990,0.680,2,0,0,0,0,20,4,0,10,0
21-03 08:47:46,23.061,2.757,73.193,0.501,0,1176348,453472,217392,5992560,12116.972,1570.143,0,569.503,0,28.074,1887,1330,1.160,0.990,0.680,2,0,0,0,0,20,4,0,10,0
21-03 08:47:47,23.796,2.755,72.138,0.501,0,1156964,472808,217428,5992572,18787.934,1514.897,0,6007.490,0,350.671,2600,2609,1.160,0.990,0.680,2,0,10.019,0,0,20,4,0,10,0
21-03 08:47:48,22.434,2.991,72.784,0,0,1206540,423232,217428,5992572,20064.566,1453.694,0,147.563,0,10.968,1920,1331,1.160,0.990,0.680,2,0,0.997,0,0,20,4,0,10,0
21-03 08:47:49,23.529,3.504,73.341,0,0,1232464,397272,217428,5992604,19993.733,1567.940,0,4.005,0,1.001,1825,1201,1.150,0.990,0.680,2,0,0,0,0,20,4,0,10,0
21-03 08:47:50,22.032,4.006,73.107,0,0,1213984,415732,217432,5992620,14804.602,1514.209,0,0,0,0,2230,1388,1.150,0.990,0.680,2,0,52.076,0,0,20,4,0,10,0
21-03 08:47:51,8.255,20.263,70.297,0,0,1188036,441632,217432,5992652,19821.178,1458.970,0,156.104,0,27.018,5529,3717,1.150,0.990,0.680,3,0,312.208,0,0,20,4,0,10,0
21-03 08:47:52,9.982,20.213,68.126,0,0,1179568,449944,217432,5992804,18743.928,1563.159,0,27.949,0,6.987,5520,3688,1.150,0.990,0.680,2,0,302.450,0,0,20,4,0,10,0
21-03 08:47:53,19.994,15.245,63.231,0,0,1167164,462276,217432,5993272,12422.171,1457.551,0,403.876,0,80.975,5709,6947,1.150,0.990,0.680,2,0,179.945,0,0,20,4,0,10,0
21-03 08:47:54,41.047,12.765,45.302,0.250,0,1226380,403028,217436,5993300,20247.418,1513.751,0,580.672,0,36.042,4308,3148,1.140,0.990,0.690,3,0,131.152,0,0,20,5,0,10,0
21-03 08:47:55,46.048,4.755,48.801,0,0.250,1284184,345220,217448,5993288,19027.006,1567.648,0,128.135,0,6.006,2734,1163,1.140,0.990,0.690,3,0,0,0,0,20,5,0,10,0
21-03 08:47:56,48.557,2.241,48.557,0,0,1299112,329624,217460,5993872,15803.273,1452.236,0,338.656,0,19.921,2822,998,1.140,0.990,0.690,4,0,0,0,0,20,5,0,10,0
21-03 08:47:57,43.056,9.763,46.811,0,0,1305996,321096,217504,5995420,25828.739,1459.907,0,532.696,0,42.055,3553,3498,1.140,0.990,0.690,4,0,0,0,0,20,5,0,10,0
21-03 08:47:58,24.519,12.009,61.547,0,0,1326900,298848,217572,5996384,18451.118,1663.273,0,3018.309,0,160.123,4596,3471,1.140,0.990,0.690,2,0,141.108,0,0,20,4,0,10,0
21-03 08:47:59,22.235,3.747,73.201,0,0,1379064,246684,217572,5996384,37304.817,1457.016,0,2630.224,0,16.989,2184,1279,1.130,0.990,0.690,2,0,0,0,0,20,4,0,10,0
