"pcp-dstat 6.2.0 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","19 Jul 2026 07:36:39 UTC"
"system","total usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","net/total:recv","net/total:send","dsk/total:read","dsk/total:writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
19-07 07:36:39,,926524,351288,215108,6203048,,,,,,,1.040,1.030,0.800,1,0,,,,19,2,0,7,0
19-07 07:36:40,8.227,19.695,69.556,0,0,940584,337192,215108,6203084,13480.444,1615.499,0,107.700,0,6.981,5411,4037,1.040,1.030,0.800,2,0,291.189,0,0,19,2,0,7,0
19-07 07:36:41,9.524,21.054,69.678,0,0,952620,325124,215108,6203116,10605.104,1624.151,0,12.031,0,3.008,5229,3505,1.040,1.030,0.800,1,0,310.794,0,0,19,2,0,7,0
19-07 07:36:42,20.939,20.689,57.581,0,0,973888,303840,215108,6203600,23814.270,5885.766,0,19.942,0,4.985,5669,4826,1.040,1.030,0.800,3,0,269.212,0,0,19,3,0,7,0
19-07 07:36:43,22.560,23.563,51.638,0,0,933604,344004,215112,6203616,71862.468,1985621.414,0,112279.152,0,355.948,7806,7287,1.040,1.030,0.800,1,0,325.868,0,0,19,3,0,7,0
19-07 07:36:44,20.688,13.459,64.057,0,0,1054408,222964,215112,6328292,28807.163,11770.519,0,0,0,0,6135,6719,1.120,1.050,0.810,0,0,136.588,0,0,20,3,0,7,0
19-07 07:36:45,13.760,13.760,71.052,0.250,0,1082980,194096,215120,6328488,31485.999,17454.750,0,3422.500,0,7.005,4664,4289,1.120,1.050,0.810,1,0,228.167,0,0,20,5,0,7,0
19-07 07:36:46,20.277,6.759,72.846,0,0,1086148,190920,215120,6328488,10868.256,3845.044,0,32.042,0,8.011,2627,1932,1.120,1.050,0.810,2,0,52.068,0,0,20,4,0,7,0
19-07 07:36:47,13.224,10.979,71.361,2.246,0,1090324,186548,215132,6328688,18696.452,1616.839,103.797,610.806,11.977,26.947,3838,2925,1.120,1.050,0.810,1,1,157.692,0,0,20,4,0,9,0
19-07 07:36:48,22.246,3.499,73.238,0,0,1139812,136664,215160,6329056,16160.329,1619.732,11.998,391.935,2.000,8.999,1940,1369,1.120,1.050,0.810,1,0,0,0,0,20,4,0,9,0
19-07 07:36:49,18.000,4.750,71.249,5.000,0.250,1140164,233528,210916,6237448,12321.760,1619.968,179.996,1451.972,18.000,7.000,1722,1266,1.110,1.050,0.810,0,1,0,0,0,20,4,0,9,0
19-07 07:36:50,22.324,2.257,72.491,1.254,0,1170108,202784,210956,6238176,35615.202,1625.394,80.266,5145.076,4.013,341.132,3137,3546,1.110,1.050,0.810,0,1,4.013,0,0,20,6,0,9,0
19-07 07:36:51,13.241,5.746,67.453,11.492,0.250,1169388,195280,211204,6246120,14317.108,1618.881,0,35023.801,0,3234.765,13755,26310,1.110,1.050,0.810,3,0,50.965,0,0,20,6,0,9,0
19-07 07:36:52,19.263,7.755,66.044,5.254,0,1096784,266640,211284,6247284,19796.286,1621.088,0,31449.106,0,2219.490,9416,16002,1.110,1.050,0.810,2,0,84.056,0,0,20,4,0,9,0
19-07 07:36:53,21.488,4.997,71.959,0.750,0,1150512,212892,211300,6247288,14822.473,1713.015,0,10817.777,0,603.653,3023,3947,1.110,1.050,0.810,1,0,17.990,0,0,20,4,0,9,0
19-07 07:36:54,23.516,3.002,71.798,0.750,0,1187724,175680,211300,6247288,9360.219,1621.077,0,7765.159,0,665.442,2373,2068,1.100,1.050,0.810,1,0,0,0,0,20,4,0,9,0
19-07 07:36:55,24.166,1.993,73.245,0,0,1173852,189544,211300,6247296,18725.896,1614.387,0,151.473,0,12.955,2123,1333,1.100,1.050,0.810,1,0,9.965,0,0,20,4,0,9,0
19-07 07:36:56,28.453,9.235,59.901,0,0,1177892,185512,211300,6247304,82147.720,2010355.900,0,27.954,0,3.993,4765,3183,1.100,1.050,0.810,2,0,105.824,0,0,20,5,0,9,0
19-07 07:36:57,30.820,10.774,57.881,0,0,1183952,179444,211300,6247320,33609.167,17403.441,0,4.009,0,1.002,4333,3656,1.100,1.050,0.810,2,0,155.352,0,0,20,5,0,9,0
19-07 07:36:58,26.797,6.511,66.616,0,0,1167208,196144,211300,6247324,21344.303,10046.558,0,0,0,0,3135,2359,1.100,1.050,0.810,2,0,86.151,0,0,20,4,0,9,0
19-07 07:36:59,9.240,20.228,68.925,0.999,0,1166448,196796,211372,6247360,19934.186,1618.229,71.921,11.987,3.996,2.997,5663,3905,1.010,1.030,0.810,3,0,324.645,0,0,20,4,0,9,0
19-07 07:37:00,9.772,20.797,67.903,0,0,1157556,205664,211372,6247384,18957.738,1623.660,0,32.072,0,8.018,5597,3818,1.010,1.030,0.810,1,0,313.707,0,0,20,4,0,9,0
19-07 07:37:01,21.183,13.208,62.801,1.246,0,1155412,207800,211372,6247756,11335.096,1614.885,3.987,107.659,0.997,2.991,5504,7241,1.010,1.030,0.810,2,0,140.555,0,0,20,4,0,9,0
